"","Site","Treatment","Guild","Distance","session","Total"
"1","1","High Div","Soil",0,1,24
"2","1","High Div","Soil",0,2,18
"3","1","High Div","Soil",0,3,17
"4","1","High Div","Soil",15,1,28
"5","1","High Div","Soil",15,2,52
"6","1","High Div","Soil",15,3,16
"7","1","High Div","Soil",30,1,32
"8","1","High Div","Soil",30,2,36
"9","1","High Div","Soil",30,3,32
"10","1","High Div","Vegetation",0,1,1
"11","1","High Div","Vegetation",0,2,18
"12","1","High Div","Vegetation",0,3,6
"13","1","High Div","Vine",0,1,8
"14","1","High Div","Vine",0,2,26
"15","1","High Div","Vine",0,3,4
"16","1","High Div","Vine",15,1,10
"17","1","High Div","Vine",15,2,19
"18","1","High Div","Vine",15,3,12
"19","1","High Div","Vine",30,1,5
"20","1","High Div","Vine",30,2,2
"21","1","High Div","Vine",30,3,4
"22","1","Low Div","Soil",0,1,66
"23","1","Low Div","Soil",0,2,29
"24","1","Low Div","Soil",0,3,29
"25","1","Low Div","Soil",15,1,46
"26","1","Low Div","Soil",15,2,39
"27","1","Low Div","Soil",15,3,29
"28","1","Low Div","Soil",30,1,40
"29","1","Low Div","Soil",30,2,28
"30","1","Low Div","Soil",30,3,19
"31","1","Low Div","Vegetation",0,1,0
"32","1","Low Div","Vegetation",0,2,12
"33","1","Low Div","Vegetation",0,3,5
"34","1","Low Div","Vine",0,1,5
"35","1","Low Div","Vine",0,2,20
"36","1","Low Div","Vine",0,3,6
"37","1","Low Div","Vine",15,1,1
"38","1","Low Div","Vine",15,2,3
"39","1","Low Div","Vine",15,3,10
"40","1","Low Div","Vine",30,1,6
"41","1","Low Div","Vine",30,2,9
"42","1","Low Div","Vine",30,3,2
"43","2","High Div","Soil",0,1,19
"44","2","High Div","Soil",0,2,28
"45","2","High Div","Soil",0,3,20
"46","2","High Div","Soil",15,1,110
"47","2","High Div","Soil",15,2,26
"48","2","High Div","Soil",15,3,34
"49","2","High Div","Soil",30,1,23
"50","2","High Div","Soil",30,2,30
"51","2","High Div","Soil",30,3,20
"52","2","High Div","Vegetation",0,1,5
"53","2","High Div","Vegetation",0,2,7
"54","2","High Div","Vegetation",0,3,10
"55","2","High Div","Vine",0,1,8
"56","2","High Div","Vine",0,2,24
"57","2","High Div","Vine",0,3,4
"58","2","High Div","Vine",15,1,9
"59","2","High Div","Vine",15,2,14
"60","2","High Div","Vine",15,3,11
"61","2","High Div","Vine",30,1,7
"62","2","High Div","Vine",30,2,20
"63","2","High Div","Vine",30,3,7
"64","2","Low Div","Soil",0,1,7
"65","2","Low Div","Soil",0,2,21
"66","2","Low Div","Soil",0,3,30
"67","2","Low Div","Soil",15,1,38
"68","2","Low Div","Soil",15,2,13
"69","2","Low Div","Soil",15,3,33
"70","2","Low Div","Soil",30,1,31
"71","2","Low Div","Soil",30,2,33
"72","2","Low Div","Soil",30,3,55
"73","2","Low Div","Vegetation",0,1,1
"74","2","Low Div","Vegetation",0,2,6
"75","2","Low Div","Vegetation",0,3,16
"76","2","Low Div","Vine",0,1,7
"77","2","Low Div","Vine",0,2,12
"78","2","Low Div","Vine",0,3,3
"79","2","Low Div","Vine",15,1,3
"80","2","Low Div","Vine",15,2,12
"81","2","Low Div","Vine",15,3,16
"82","2","Low Div","Vine",30,1,9
"83","2","Low Div","Vine",30,2,5
"84","2","Low Div","Vine",30,3,7
"85","6","High Div","Soil",0,1,41
"86","6","High Div","Soil",0,2,16
"87","6","High Div","Soil",0,3,14
"88","6","High Div","Soil",15,1,17
"89","6","High Div","Soil",15,2,4
"90","6","High Div","Soil",15,3,20
"91","6","High Div","Soil",30,1,39
"92","6","High Div","Soil",30,2,6
"93","6","High Div","Soil",30,3,14
"94","6","High Div","Vegetation",0,1,1
"95","6","High Div","Vegetation",0,2,6
"96","6","High Div","Vegetation",0,3,3
"97","6","High Div","Vine",0,1,3
"98","6","High Div","Vine",0,2,30
"99","6","High Div","Vine",0,3,5
"100","6","High Div","Vine",15,1,4
"101","6","High Div","Vine",15,2,11
"102","6","High Div","Vine",15,3,15
"103","6","High Div","Vine",30,1,7
"104","6","High Div","Vine",30,2,14
"105","6","High Div","Vine",30,3,7
"106","6","Low Div","Soil",0,1,24
"107","6","Low Div","Soil",0,2,10
"108","6","Low Div","Soil",0,3,37
"109","6","Low Div","Soil",15,1,32
"110","6","Low Div","Soil",15,2,8
"111","6","Low Div","Soil",15,3,40
"112","6","Low Div","Soil",30,1,51
"113","6","Low Div","Soil",30,2,2
"114","6","Low Div","Soil",30,3,70
"115","6","Low Div","Vegetation",0,1,2
"116","6","Low Div","Vegetation",0,2,1
"117","6","Low Div","Vegetation",0,3,1
"118","6","Low Div","Vine",0,1,6
"119","6","Low Div","Vine",0,2,17
"120","6","Low Div","Vine",0,3,1
"121","6","Low Div","Vine",15,1,3
"122","6","Low Div","Vine",15,2,24
"123","6","Low Div","Vine",15,3,9
"124","6","Low Div","Vine",30,1,4
"125","6","Low Div","Vine",30,2,22
"126","6","Low Div","Vine",30,3,7
"127","7","High Div","Soil",0,1,6
"128","7","High Div","Soil",0,2,10
"129","7","High Div","Soil",0,3,24
"130","7","High Div","Soil",15,1,6
"131","7","High Div","Soil",15,2,18
"132","7","High Div","Soil",15,3,7
"133","7","High Div","Soil",30,1,7
"134","7","High Div","Soil",30,2,10
"135","7","High Div","Soil",30,3,15
"136","7","High Div","Vegetation",0,1,2
"137","7","High Div","Vegetation",0,2,23
"138","7","High Div","Vegetation",0,3,5
"139","7","High Div","Vine",0,1,9
"140","7","High Div","Vine",0,2,57
"141","7","High Div","Vine",0,3,13
"142","7","High Div","Vine",15,1,5
"143","7","High Div","Vine",15,2,13
"144","7","High Div","Vine",15,3,10
"145","7","High Div","Vine",30,1,2
"146","7","High Div","Vine",30,2,3
"147","7","High Div","Vine",30,3,3
"148","7","Low Div","Soil",0,1,29
"149","7","Low Div","Soil",0,2,17
"150","7","Low Div","Soil",0,3,23
"151","7","Low Div","Soil",15,1,15
"152","7","Low Div","Soil",15,2,20
"153","7","Low Div","Soil",15,3,26
"154","7","Low Div","Soil",30,1,12
"155","7","Low Div","Soil",30,2,17
"156","7","Low Div","Soil",30,3,12
"157","7","Low Div","Vegetation",0,1,2
"158","7","Low Div","Vegetation",0,2,2
"159","7","Low Div","Vegetation",0,3,6
"160","7","Low Div","Vine",0,1,9
"161","7","Low Div","Vine",0,2,3
"162","7","Low Div","Vine",0,3,8
"163","7","Low Div","Vine",15,1,8
"164","7","Low Div","Vine",15,2,11
"165","7","Low Div","Vine",15,3,2
"166","7","Low Div","Vine",30,1,5
"167","7","Low Div","Vine",30,2,32
"168","7","Low Div","Vine",30,3,10
"169","8","High Div","Soil",0,1,22
"170","8","High Div","Soil",0,2,15
"171","8","High Div","Soil",0,3,17
"172","8","High Div","Soil",15,1,60
"173","8","High Div","Soil",15,2,15
"174","8","High Div","Soil",15,3,10
"175","8","High Div","Soil",30,1,46
"176","8","High Div","Soil",30,2,28
"177","8","High Div","Soil",30,3,11
"178","8","High Div","Vegetation",0,1,1
"179","8","High Div","Vegetation",0,2,12
"180","8","High Div","Vegetation",0,3,18
"181","8","High Div","Vine",0,1,4
"182","8","High Div","Vine",0,2,17
"183","8","High Div","Vine",0,3,2
"184","8","High Div","Vine",15,1,13
"185","8","High Div","Vine",15,2,23
"186","8","High Div","Vine",15,3,22
"187","8","High Div","Vine",30,1,4
"188","8","High Div","Vine",30,2,22
"189","8","High Div","Vine",30,3,7
"190","8","Low Div","Soil",0,1,24
"191","8","Low Div","Soil",0,2,9
"192","8","Low Div","Soil",0,3,23
"193","8","Low Div","Soil",15,1,19
"194","8","Low Div","Soil",15,2,17
"195","8","Low Div","Soil",15,3,18
"196","8","Low Div","Soil",30,1,21
"197","8","Low Div","Soil",30,2,26
"198","8","Low Div","Soil",30,3,21
"199","8","Low Div","Vegetation",0,1,1
"200","8","Low Div","Vegetation",0,2,9
"201","8","Low Div","Vegetation",0,3,10
"202","8","Low Div","Vine",0,1,4
"203","8","Low Div","Vine",0,2,13
"204","8","Low Div","Vine",0,3,7
"205","8","Low Div","Vine",15,1,8
"206","8","Low Div","Vine",15,2,18
"207","8","Low Div","Vine",15,3,11
"208","8","Low Div","Vine",30,1,2
"209","8","Low Div","Vine",30,2,13
"210","8","Low Div","Vine",30,3,6
"211","9","High Div","Soil",0,1,10
"212","9","High Div","Soil",0,2,17
"213","9","High Div","Soil",0,3,8
"214","9","High Div","Soil",15,1,50
"215","9","High Div","Soil",15,2,11
"216","9","High Div","Soil",15,3,11
"217","9","High Div","Soil",30,1,20
"218","9","High Div","Soil",30,2,8
"219","9","High Div","Soil",30,3,14
"220","9","High Div","Vegetation",0,2,7
"221","9","High Div","Vegetation",0,3,6
"222","9","High Div","Vine",0,2,14
"223","9","High Div","Vine",0,3,6
"224","9","High Div","Vine",15,2,10
"225","9","High Div","Vine",15,3,7
"226","9","High Div","Vine",30,2,7
"227","9","High Div","Vine",30,3,10
"228","9","Low Div","Soil",0,1,14
"229","9","Low Div","Soil",0,2,4
"230","9","Low Div","Soil",0,3,18
"231","9","Low Div","Soil",15,1,26
"232","9","Low Div","Soil",15,2,5
"233","9","Low Div","Soil",15,3,6
"234","9","Low Div","Soil",30,1,9
"235","9","Low Div","Soil",30,2,7
"236","9","Low Div","Soil",30,3,6
"237","9","Low Div","Vegetation",0,1,0
"238","9","Low Div","Vegetation",0,2,5
"239","9","Low Div","Vegetation",0,3,2
"240","9","Low Div","Vine",0,1,3
"241","9","Low Div","Vine",0,2,6
"242","9","Low Div","Vine",0,3,3
"243","9","Low Div","Vine",15,1,4
"244","9","Low Div","Vine",15,2,9
"245","9","Low Div","Vine",15,3,6
"246","9","Low Div","Vine",30,1,4
"247","9","Low Div","Vine",30,2,0
"248","9","Low Div","Vine",30,3,0
"249","10","High Div","Soil",0,1,13
"250","10","High Div","Soil",0,2,25
"251","10","High Div","Soil",0,3,14
"252","10","High Div","Soil",15,1,16
"253","10","High Div","Soil",15,2,16
"254","10","High Div","Soil",15,3,2
"255","10","High Div","Soil",30,1,15
"256","10","High Div","Soil",30,2,6
"257","10","High Div","Soil",30,3,9
"258","10","High Div","Vegetation",0,2,5
"259","10","High Div","Vegetation",0,3,5
"260","10","High Div","Vine",0,2,9
"261","10","High Div","Vine",0,3,5
"262","10","High Div","Vine",15,2,21
"263","10","High Div","Vine",15,3,8
"264","10","High Div","Vine",30,2,16
"265","10","High Div","Vine",30,3,5
"266","10","Low Div","Soil",0,1,15
"267","10","Low Div","Soil",0,2,11
"268","10","Low Div","Soil",0,3,9
"269","10","Low Div","Soil",15,1,26
"270","10","Low Div","Soil",15,2,8
"271","10","Low Div","Soil",15,3,14
"272","10","Low Div","Soil",30,1,26
"273","10","Low Div","Soil",30,2,7
"274","10","Low Div","Soil",30,3,3
"275","10","Low Div","Vegetation",0,2,9
"276","10","Low Div","Vegetation",0,3,1
"277","10","Low Div","Vine",0,2,18
"278","10","Low Div","Vine",0,3,11
"279","10","Low Div","Vine",15,2,11
"280","10","Low Div","Vine",15,3,9
"281","10","Low Div","Vine",30,2,9
"282","10","Low Div","Vine",30,3,3
"283","11","High Div","Soil",0,1,3
"284","11","High Div","Soil",0,2,37
"285","11","High Div","Soil",0,3,26
"286","11","High Div","Soil",15,1,4
"287","11","High Div","Soil",15,2,20
"288","11","High Div","Soil",15,3,11
"289","11","High Div","Soil",30,1,2
"290","11","High Div","Soil",30,2,14
"291","11","High Div","Soil",30,3,20
"292","11","High Div","Vegetation",0,1,1
"293","11","High Div","Vegetation",0,2,12
"294","11","High Div","Vegetation",0,3,14
"295","11","High Div","Vine",0,1,25
"296","11","High Div","Vine",0,2,9
"297","11","High Div","Vine",0,3,12
"298","11","High Div","Vine",15,1,4
"299","11","High Div","Vine",15,2,9
"300","11","High Div","Vine",15,3,14
"301","11","High Div","Vine",30,1,3
"302","11","High Div","Vine",30,2,19
"303","11","High Div","Vine",30,3,11
"304","11","Low Div","Soil",0,1,13
"305","11","Low Div","Soil",0,2,29
"306","11","Low Div","Soil",0,3,5
"307","11","Low Div","Soil",15,1,10
"308","11","Low Div","Soil",15,2,15
"309","11","Low Div","Soil",15,3,19
"310","11","Low Div","Soil",30,1,6
"311","11","Low Div","Soil",30,2,12
"312","11","Low Div","Soil",30,3,3
"313","11","Low Div","Vegetation",0,1,1
"314","11","Low Div","Vegetation",0,2,13
"315","11","Low Div","Vegetation",0,3,10
"316","11","Low Div","Vine",0,1,4
"317","11","Low Div","Vine",0,2,11
"318","11","Low Div","Vine",0,3,4
"319","11","Low Div","Vine",15,1,3
"320","11","Low Div","Vine",15,2,11
"321","11","Low Div","Vine",15,3,7
"322","11","Low Div","Vine",30,1,2
"323","11","Low Div","Vine",30,2,4
"324","11","Low Div","Vine",30,3,6
"325","12","High Div","Soil",0,1,22
"326","12","High Div","Soil",0,2,120
"327","12","High Div","Soil",0,3,65
"328","12","High Div","Soil",15,1,47
"329","12","High Div","Soil",15,2,68
"330","12","High Div","Soil",15,3,47
"331","12","High Div","Soil",30,1,19
"332","12","High Div","Soil",30,2,38
"333","12","High Div","Soil",30,3,52
"334","12","High Div","Vegetation",0,1,3
"335","12","High Div","Vegetation",0,2,10
"336","12","High Div","Vegetation",0,3,20
"337","12","High Div","Vine",0,1,5
"338","12","High Div","Vine",0,2,6
"339","12","High Div","Vine",0,3,9
"340","12","High Div","Vine",15,1,5
"341","12","High Div","Vine",15,2,25
"342","12","High Div","Vine",15,3,17
"343","12","High Div","Vine",30,1,3
"344","12","High Div","Vine",30,2,7
"345","12","High Div","Vine",30,3,3
"346","12","Low Div","Soil",0,1,11
"347","12","Low Div","Soil",0,2,29
"348","12","Low Div","Soil",0,3,35
"349","12","Low Div","Soil",15,1,5
"350","12","Low Div","Soil",15,2,10
"351","12","Low Div","Soil",15,3,25
"352","12","Low Div","Soil",30,1,26
"353","12","Low Div","Soil",30,2,17
"354","12","Low Div","Soil",30,3,15
"355","12","Low Div","Vegetation",0,1,1
"356","12","Low Div","Vegetation",0,2,16
"357","12","Low Div","Vegetation",0,3,6
"358","12","Low Div","Vine",0,1,8
"359","12","Low Div","Vine",0,2,26
"360","12","Low Div","Vine",0,3,6
"361","12","Low Div","Vine",15,1,11
"362","12","Low Div","Vine",15,2,30
"363","12","Low Div","Vine",15,3,17
"364","12","Low Div","Vine",30,1,8
"365","12","Low Div","Vine",30,2,16
"366","12","Low Div","Vine",30,3,5
